Time,T1,T2,U1,U2,SP1,SP2
375.06,70.5837,70.5837,0,0,60.0,60.0
385.03,67.3607,67.3607,0,0,60.0,60.0
395.06,64.46,64.1377,0,0,60.0,60.0
405.04,61.236999999999995,61.55929999999999,0,2.7762727535679934,60.0,60.0
410.04,59.947799999999994,59.947799999999994,100,100,60.0,60.0
415.0,58.9809,58.9809,100,100,60.0,60.0
420.0,58.65859999999999,58.65859999999999,100,100,60.0,60.0
425.07,58.65859999999999,58.65859999999999,100,100,61.204999999999984,61.204999999999984
435.03,59.947799999999994,59.947799999999994,100,100,66.18499999999997,66.18499999999997
440.01,60.914699999999996,60.914699999999996,100,100,68.67499999999998,68.67499999999998
445.04,62.2039,62.2039,100,100,71.19,71.19
455.06,64.46,64.46,100,100,72.0,72.0
465.05,67.3607,67.3607,100,100,72.0,72.0
475.04,69.6168,69.9391,100,98.29994805638604,72.0,72.0
480.02,70.90599999999999,71.22829999999999,59.70140131342443,59.79862604736251,72.0,72.0
485.03,72.1952,72.1952,30.739788228435767,30.739788452923417,72.0,72.0
490.04,73.1621,73.1621,9.650597708353597,19.470295236408052,72.0,72.0
495.02,73.1621,73.1621,0,0,72.0,72.0
505.02,72.5175,72.8398,64.87425239165452,64.97147689293308,72.0,72.0
510.06,71.8729,72.1952,94.30579894267359,94.3057989426705,72.0,72.0
515.01,71.8729,71.8729,100,94.1115372848895,72.0,72.0
525.04,72.1952,72.5175,94.01437117552288,84.29189757069611,72.0,72.0
530.02,72.8398,72.8398,74.47220626153528,74.56943099758332,72.0,72.0
535.06,73.4844,73.4844,55.02726226324107,64.84696060411565,72.0,72.0
545.05,74.12899999999999,74.12899999999999,100,100,76.195,76.195
550.04,74.45129999999999,74.45129999999999,100,100,78.69,78.69
555.01,75.0959,75.0959,100,100,81.17500000000001,81.17500000000001
565.02,76.70739999999999,76.70739999999999,100,100,86.18,86.18
570.01,77.35199999999999,77.67429999999999,100,100,88.67500000000001,88.67500000000001
575.05,78.3189,78.6412,100,100,91.195,91.195
585.01,80.25269999999999,80.25269999999999,100,100,94.0,94.0
590.03,81.2196,81.2196,100,100,94.0,94.0
595.02,82.1865,82.1865,100,100,94.0,94.0
600.02,82.83109999999999,83.15339999999999,100,100,94.0,94.0
605.01,83.79799999999999,83.79799999999999,100,100,94.0,94.0
615.03,85.73179999999999,85.73179999999999,100,100,94.0,94.0
620.02,86.37639999999999,86.37639999999999,100,100,94.0,94.0
