Time,T1,T2,U1,U2,SP1,SP2
370.03,71.22829999999999,71.55059999999999,0,0,60.0,60.0
375.0,69.6168,69.6168,0,0,60.0,60.0
380.05,68.00529999999999,68.00529999999999,0,0,60.0,60.0
390.04,64.78229999999999,65.10459999999999,0,0,60.0,60.0
395.02,63.17079999999999,63.4931,0,0,60.0,60.0
400.04,61.88159999999999,61.88159999999999,0,0,60.0,60.0
410.03,58.9809,58.9809,100,100,60.0,60.0
415.04,58.013999999999996,58.013999999999996,100,100,60.0,60.0
420.05,57.6917,57.6917,100,100,60.0,60.0
430.01,58.336299999999994,58.65859999999999,100,100,63.67499999999998,63.67499999999998
435.04,59.3032,59.3032,100,100,66.19,66.19
440.01,60.27009999999999,60.27009999999999,100,100,68.67499999999998,68.67499999999998
445.04,61.236999999999995,61.55929999999999,100,100,71.19,71.19
450.06,62.526199999999996,62.526199999999996,100,100,72.0,72.0
460.04,65.10459999999999,65.42689999999999,100,100,72.0,72.0
465.04,66.3938,66.7161,100,100,72.0,72.0
470.05,68.00529999999999,68.00529999999999,100,100,72.0,72.0
480.01,70.5837,70.5837,78.7574495788841,78.85467431282231,72.0,72.0
485.0,71.8729,71.8729,40.36503709721375,40.36503732170151,72.0,72.0
490.04,72.8398,72.8398,19.37307131317984,19.373070500359646,72.0,72.0
500.02,73.4844,73.4844,0,0,72.0,72.0
505.01,73.1621,73.1621,55.15177878682776,55.151778552058175,72.0,72.0
510.02,72.5175,72.8398,84.58332533784683,74.7636269969691,72.0,72.0
515.04,72.5175,72.5175,94.20876202093825,84.48628841611111,72.0,72.0
520.01,72.5175,72.5175,84.29188186834178,94.20880494526456,72.0,72.0
530.03,73.1621,72.8398,64.74973265670852,64.65250792066016,72.0,72.0
535.02,73.4844,73.4844,55.12448699928907,55.124486999289005,72.0,72.0
540.0,73.80669999999999,73.80669999999999,96.28285953048321,96.28285953048314,73.67000000000002,73.67000000000002
545.0,74.12899999999999,74.12899999999999,100,100,76.17000000000002,76.17000000000002
550.05,74.45129999999999,74.77359999999999,100,100,78.695,78.695
560.0,76.0628,76.0628,100,100,83.67000000000002,83.67000000000002
565.04,77.02969999999999,77.02969999999999,100,100,86.19,86.19
570.02,77.67429999999999,77.9966,100,100,88.68,88.68
580.03,79.6081,79.6081,100,100,93.685,93.685
585.01,80.57499999999999,80.57499999999999,100,100,94.0,94.0
590.02,81.5419,81.5419,100,100,94.0,94.0
595.01,82.5088,82.5088,100,100,94.0,94.0
600.0,83.47569999999999,83.47569999999999,100,100,94.0,94.0
605.02,84.1203,84.4426,100,100,94.0,94.0
610.04,85.0872,85.0872,100,100,94.0,94.0
620.04,86.69869999999999,87.02099999999999,100,100,94.0,94.0
625.04,87.6656,87.6656,100,100,94.0,94.0
630.06,88.3102,88.3102,100,100,94.0,94.0
640.03,89.92169999999999,89.92169999999999,100,100,94.0,94.0
645.01,90.5663,90.5663,37.11927356153776,37.11927356153769,91.82499999999999,91.82499999999999
650.01,90.8886,90.8886,0,0,89.32499999999999,89.32499999999999
655.0,90.8886,90.8886,0,0,86.82999999999998,86.82999999999998
660.03,90.244,90.5663,0,0,84.315,84.315
670.01,87.9879,87.9879,0,0,79.32499999999999,79.32499999999999
675.02,86.69869999999999,86.69869999999999,0,0,76.82,76.82
680.02,85.0872,84.7649,0,0,74.32,74.32
685.05,83.15339999999999,83.15339999999999,0,0,71.805,71.805
690.06,81.5419,81.5419,0,0,69.30000000000001,69.30000000000001
700.04,77.67429999999999,77.9966,0,0,64.31,64.31
705.03,76.0628,76.0628,0,0,61.815,61.815
710.05,74.12899999999999,74.12899999999999,0,0,60.0,60.0
720.03,70.5837,70.5837,0,0,60.0,60.0
725.02,68.9722,68.9722,0,0,60.0,60.0
730.04,67.3607,67.3607,0,0,60.0,60.0
740.02,64.1377,64.1377,0,0,60.0,60.0
750.03,61.236999999999995,61.236999999999995,0,0,60.0,60.0
755.02,59.947799999999994,59.947799999999994,100,100,60.0,60.0
760.0,58.9809,58.9809,100,100,60.0,60.0
765.02,58.65859999999999,58.65859999999999,100,100,60.0,60.0
770.03,58.65859999999999,58.65859999999999,100,100,60.685,60.685
780.04,59.947799999999994,59.947799999999994,100,100,65.69,65.69
785.03,60.914699999999996,60.914699999999996,100,100,68.185,68.185
790.05,61.88159999999999,62.2039,100,100,70.695,70.695
795.01,63.17079999999999,63.17079999999999,100,100,72.0,72.0
800.04,64.46,64.46,100,100,72.0,72.0
810.01,67.0384,67.0384,100,100,72.0,72.0
815.04,68.32759999999999,68.32759999999999,100,100,72.0,72.0
820.04,69.9391,69.9391,98.6888577582532,100,72.0,72.0
830.0,72.5175,72.5175,20.52207147260039,20.42484679813204,72.0,72.0
835.03,73.4844,73.4844,7.804171016000222,0,72.0,72.0
840.01,73.80669999999999,73.80669999999999,0,0,72.0,72.0
850.0,73.1621,73.1621,38.49107893499688,38.491078863612294,72.0,72.0
855.01,72.5175,72.5175,84.58327985630967,84.58327985630719,72.0,72.0
860.02,72.1952,71.8729,94.20875276690323,94.20875276690272,72.0,72.0
870.0,72.1952,72.1952,94.11159464402856,94.11159464402846,72.0,72.0
875.02,72.5175,72.5175,84.29190407786216,84.29190407786209,72.0,72.0
880.04,73.1621,72.8398,64.74973577878633,74.56943411966104,72.0,72.0
